Title,ToTal Gross,Release Date,Distributor
Skinamarink,2052272,1/13/23,IFCFilms
JurassicPark2023Re-release(30thAnniversary),1864240,8/25/23,UniversalPictures
Golda,1856809,8/25/23,BleeckerStreetMedia
SomewhereinQueens,1802442,4/21/23,RoadsideAttractions
Jules,1775876,8/11/23,BleeckerStreetMedia
WinniethePooh:BloodandHoney,1750639,2/15/23,FathomEvents
Fear,2090261,1/27/23,HiddenEmpireFilmGroup(HEFG)
LostintheStars,1721446,7/7/23,CMCPictures
ThatTimeIGotReincarnatedasaSlimetheMovie:ScarletBond,1588491,1/20/23,Crunchyroll
TheBansheesofInisherin,10582266,10/21/23,SearchlightPictures
PoliteSociety,1545600,4/28/23,FocusFeatures
TheQuietGirl,1500014,2/24/23,Neon
BlackBerry,1476597,5/12/23,IFCFilms
SpiritedAway2023Re-release(LiveonStage),1455081,4/23/23,FathomEvents
Oldboy2023Re-release,1443314,8/16/23,'-
MaybeIDo,1293722,1/27/23,VerticalEntertainment
BillieEilishLiveattheO2,1290000,1/27/23,TrafalgarReleasing
TheFirstSlamDunk,1256517,7/28/23,GKIDS
Tár,6773650,10/7/23,FocusFeatures
TheLostKing,1188032,3/24/23,IFCFilms
TheLordoftheRings:TheReturnoftheKing20thAnniversary,1176085,4/13/23,FathomEvents
StrangeWorld,37968963,11/23/23,WaltDisneyStudiosMotionPictures
Close,1100113,1/27/23,A24
Emily,1097067,2/17/23,BleeckerStreetMedia
KnightsoftheZodiac,1090155,5/12/23,'-
Broker,1046899,12/23/23,Neon
ShowingUp,754483,4/7/23,A24
TheRoundup:NoWayOut,909411,6/2/23,CapelightPictures
Inside,897190,3/17/23,FocusFeatures
Fool'sParadise,855173,5/12/23,RoadsideAttractions
Paint,811739,4/7/23,IFCFilms
ReturntoSeoul,798774,2/17/23,SonyPicturesClassics
HiddenBlade,803189,2/17/23,WellGoUSAEntertainment
TheDevilConspiracy,765218,1/13/23,'-
RollwithIt,757981,5/9/23,FathomEvents
HowtoBlowUpaPipeline,750010,4/7/23,'-
RallyRoadRacers,744169,5/12/23,VivaPictures
ItAin'tOver,705355,5/12/23,SonyPicturesEntertainment(SPE)
Devotion,20511938,11/23/23,ColumbiaPictures
MasterGardener,667114,5/19/23,MagnoliaPictures
Shortcomings,653780,8/4/23,SonyPicturesClassics
Corsage,705767,12/23/23,IFCFilms
EO,1068782,11/18/23,SideshowReleasing
ShinUltraman,601490,1/11/23,FathomEvents
TheThorn,577004,3/6/23,FathomEvents
TheWay2023Re-release,567448,5/16/23,FathomEvents
OfanAge,556585,2/17/23,FocusFeatures
Sweetwater,541633,4/14/23,BriarcliffEntertainment
Aftersun,1658790,10/21/23,A24
Consecration,538551,2/10/23,IFCFilms
Sanctuary,535202,5/19/23,'-
Bottoms,533978,8/25/23,OrionPictures
TriangleofSadness,4608096,10/7/23,Neon
CrouchingTigerHiddenDragon2023Re-release,451549,2/17/23,SonyPicturesClassics
AFather'sHeart,447912,5/1/23,FathomEvents
TheSon,449650,1/20/23,SonyPicturesClassics
TheEssentialChurch,412550,7/28/23,AtlasDistributionCompany
MendingtheLine,379890,6/9/23,BlueFoxEntertainment
CatVideoFest2023,327584,8/4/23,Oscilloscope
